type_a,type_b,impact_a,impact_b,flow_after,joint_impact,synergy
JO-ED2_b,LgAG8,64,13,10570,77,0
WG3,SNpp60,33,44,10570,77,0
ORN_VL2a,"SNta02,SNta09",34,43,10570,77,0
SNxx15,claw_tpGRN,40,37,10570,77,0
aPhM2a,HRN_VP1d,46,31,10570,77,0
aPhM2a,JO-ED1,46,31,10570,77,0
aPhM2a,SApp13,46,31,10570,77,0
SAxx02,ORN_DM1,51,26,10570,77,0
SAxx02,SNpp10,51,26,10570,77,0
SAxx02,SApp01,51,26,10570,77,0
BM_InOm,ORN_DA3,72,5,10570,77,0
LgLG3,ENS3,65,12,10570,77,0
LgLG3,ORN_VM4,65,12,10570,77,0
LgLG3,ENS1,65,12,10570,77,0
LgLG3,PhG13,65,12,10570,77,0
LgLG3,ORN_DC2,65,12,10570,77,0
LgLG3,SNpp37,65,12,10570,77,0
LgLG3,ORN_VC4,65,12,10570,77,0
LgLG3,b2 MN,65,12,10570,77,0
JO-A3,SApp04,21,56,10570,77,0
ORN_DA1,"SNta02,SNta09",34,43,10570,77,0
SNpp23,SAxx01,30,47,10570,77,0
SNpp23,SNxx29,30,47,10570,77,0
SNpp23,SNta11,30,47,10570,77,0
SNpp23,SNpp51,30,47,10570,77,0
SNpp40,ORN_DA3,72,5,10570,77,0
TRN_VP3a,SNpp50,18,59,10570,77,0
LB3d,SApp19,27,50,10570,77,0
LB3d,SNxx04,27,50,10570,77,0
LB3d,SNta04,27,50,10570,77,0
SNxx02,SApp19,27,50,10570,77,0
SNxx02,SNxx04,27,50,10570,77,0
SNxx02,SNta04,27,50,10570,77,0
LB3c,SNta25,25,52,10570,77,0
ORN_VM6v,SApp04,21,56,10570,77,0
ENS2,"SNta11,SNta14",28,49,10570,77,0
ORN_DP1l,"SNta11,SNta14",28,49,10570,77,0
SNpp16,SNpp43,36,41,10570,77,0
TRN_VP1m,SNta30,24,53,10570,77,0
BM_Hau,SApp19,27,50,10570,77,0
BM_Hau,SNxx04,27,50,10570,77,0
BM_Hau,SNta04,27,50,10570,77,0
JO-mz,HRN_VP1d,46,31,10570,77,0
JO-mz,JO-ED1,46,31,10570,77,0
JO-mz,SApp13,46,31,10570,77,0
SNpp60,SNta31,44,33,10570,77,0
SApp19,JO-B4_b,50,27,10570,77,0
SApp19,SApp23,50,27,10570,77,0
SApp19,ORN_VL2p,50,27,10570,77,0
ORN_DP1m,SNpp32,35,42,10570,77,0
JO-B4_b,SNxx04,27,50,10570,77,0
JO-B4_b,SNta04,27,50,10570,77,0
SNta03,HRN_VP1d,46,31,10570,77,0
SNta03,JO-ED1,46,31,10570,77,0
SNta03,SApp13,46,31,10570,77,0
SNxx04,SApp23,50,27,10570,77,0
SNxx04,ORN_VL2p,50,27,10570,77,0
SNxx04,SNta33,50,27,10570,77,0
"SNta11,SNta14",ORN_VA6,49,28,10570,77,0
"SNta11,SNta14",ENS4,49,28,10570,77,0
"SNta11,SNta14",SNta26,49,28,10570,77,0
ORN_DM1,SNxx03,26,51,10570,77,0
SAxx01,JO-CL,47,30,10570,77,0
SAxx01,SNpp41,47,30,10570,77,0
SNxx03,SNpp10,51,26,10570,77,0
SNxx03,SApp01,51,26,10570,77,0
JO-ED2_c,SNxx25,39,38,10570,77,0
BM_Vib,"SNta02,SNta09",34,43,10570,77,0
HRN_VP1d,SNta28,31,46,10570,77,0
SNxx29,JO-CL,47,30,10570,77,0
SNxx29,SNpp41,47,30,10570,77,0
ORN_DM2,SNpp45,13,64,10570,77,0
SApp23,SNta04,27,50,10570,77,0
SNpp47,SNxx25,39,38,10570,77,0
TRN_VP2,SNpp50,18,59,10570,77,0
aPhM2b,SNpp50,18,59,10570,77,0
JO-CL,SNta11,30,47,10570,77,0
JO-CL,SNpp51,30,47,10570,77,0
ORN_VL2p,SNta04,27,50,10570,77,0
SNpp43,SNxx14,41,36,10570,77,0
SNpp43,SNch10,41,36,10570,77,0
SNpp43,SNta18,41,36,10570,77,0
PhG1c,"SNta02,SNta09",34,43,10570,77,0
SNpp41,SNta11,30,47,10570,77,0
SNpp41,SNpp51,30,47,10570,77,0
JO-ED1,SNta28,31,46,10570,77,0
SNxx25,SNpp33,38,39,10570,77,0
SNpp50,ORN_VC1,59,18,10570,77,0
SNpp50,ORN_VM7d,59,18,10570,77,0
SNpp50,LgAG2,59,18,10570,77,0
SNpp50,DNx01,59,18,10570,77,0
"SApp11,SApp18",SNpp32,35,42,10570,77,0
SNxx17,SApp04,21,56,10570,77,0
SNxx26,SNta25,25,52,10570,77,0
ORN_VA2,SNta25,25,52,10570,77,0
ORN_DL2v,SApp04,21,56,10570,77,0
SNpp45,DNg20,64,13,10570,77,0
SNpp45,SNxx06,64,13,10570,77,0
SNpp45,SNpp15,64,13,10570,77,0
SNpp45,ORN_DA2,64,13,10570,77,0
SNpp45,PhG16,64,13,10570,77,0
SNpp45,SNpp18,64,13,10570,77,0
SNpp45,LgAG8,64,13,10570,77,0
SApp13,SNta28,31,46,10570,77,0
SNta30,SNpp02,53,24,10570,77,0
SNxx07,SNxx20,32,44,10571,76,0
SNxx07,LgAG1,32,44,10571,76,0
SNxx07,SNpp60,32,44,10571,76,0
SNxx08,JO-ED2_a,20,56,10571,76,0
SNxx08,SNpp39,20,56,10571,76,0
SNxx08,SNch01,20,56,10571,76,0
SNxx08,SApp04,20,56,10571,76,0
TPMN1,JO-A2,40,36,10571,76,0
TPMN1,SNpp16,40,36,10571,76,0
TPMN1,SNxx14,40,36,10571,76,0
TPMN1,SNch10,40,36,10571,76,0
TPMN1,SNta18,40,36,10571,76,0
DNx02,LgLG5,68,8,10571,76,0
DNx02,HBeyelet,68,8,10571,76,0
DNx02,PhG1a,68,8,10571,76,0
aPhM5,SAxx01,29,47,10571,76,0
aPhM5,SNxx29,29,47,10571,76,0
aPhM5,SNta11,29,47,10571,76,0
aPhM5,SNpp51,29,47,10571,76,0
SNxx23,TPMN2,50,26,10571,76,0
SNxx23,ORN_DM1,50,26,10571,76,0
SNxx23,SNpp10,50,26,10571,76,0
SNxx23,SApp01,50,26,10571,76,0
JO-EV5,aPhM1,54,22,10571,76,0
JO-EV5,BM_Vt_PoOc,54,22,10571,76,0
JO-EV5,PhG9,54,22,10571,76,0
JO-EV5,ORN_DC1,54,22,10571,76,0
JO-EV5,SNpp62,54,22,10571,76,0
JO-EV5,SNpp58,54,22,10571,76,0
JO-EV5,SNxx19,54,22,10571,76,0
JO-EV5,SNxx21,54,22,10571,76,0
JO-EV5,JO-B3,54,22,10571,76,0
JO-ED2_a,GNG644,56,20,10571,76,0
JO-ED2_a,ORN_DL5,56,20,10571,76,0
JO-ED2_a,WG2,56,20,10571,76,0
JO-ED2_a,LgAG3,56,20,10571,76,0
JO-ED2_a,PhG1b,56,20,10571,76,0
JO-ED2_a,BM_vOcci_vPoOr,56,20,10571,76,0
JO-ED2_a,LB1e,56,20,10571,76,0
JO-ED2_a,SNxx30,56,20,10571,76,0
TPMN2,SApp19,26,50,10571,76,0
TPMN2,SNxx04,26,50,10571,76,0
TPMN2,SNta04,26,50,10571,76,0
R7y,LgLG3,11,65,10571,76,0
R7p,LgLG3,11,65,10571,76,0
JO-FV,JO-A3,55,21,10571,76,0
JO-FV,ORN_VM6v,55,21,10571,76,0
JO-FV,SNxx17,55,21,10571,76,0
JO-FV,ORN_DL2v,55,21,10571,76,0
LgLG1a,ORN_DP1m,41,35,10571,76,0
LgLG1a,"SApp11,SApp18",41,35,10571,76,0
aPhM3,SNxx20,32,44,10571,76,0
aPhM3,LgAG1,32,44,10571,76,0
aPhM3,SNpp60,32,44,10571,76,0
SNpp39,GNG644,56,20,10571,76,0
SNpp39,ORN_DL5,56,20,10571,76,0
SNpp39,WG2,56,20,10571,76,0
SNpp39,LgAG3,56,20,10571,76,0
SNpp39,PhG1b,56,20,10571,76,0
SNpp39,BM_vOcci_vPoOr,56,20,10571,76,0
SNpp39,LB1e,56,20,10571,76,0
SNpp39,SNxx30,56,20,10571,76,0
JO-A2,SNxx15,36,40,10571,76,0
JO-EV6,GNG654,62,14,10571,76,0
JO-EV6,HRN_VP5,62,14,10571,76,0
JO-EV6,LB4b,62,14,10571,76,0
JO-EV6,SNxx24,62,14,10571,76,0
JO-EV6,ORN_VC5,62,14,10571,76,0
JO-EV6,PhG4,62,14,10571,76,0
JO-EV6,SNpp06,62,14,10571,76,0
JO-EV6,BM_MaPa,62,14,10571,76,0
JO-EV6,PhG14,62,14,10571,76,0
JO-EV6,SNpp56,62,14,10571,76,0
JO-EV6,JO-B2,62,14,10571,76,0
JO-EV6,JO-B1_c,62,14,10571,76,0
JO-EV2,ORN_VL2a,42,34,10571,76,0
JO-EV2,ORN_DA1,42,34,10571,76,0
JO-EV2,BM_Vib,42,34,10571,76,0
JO-EV2,PhG1c,42,34,10571,76,0
SNxx20,SApp14,44,32,10571,76,0
SNxx20,SNpp07,44,32,10571,76,0
LgAG1,SApp14,44,32,10571,76,0
LgAG1,SNpp07,44,32,10571,76,0
LgLG1b,claw_tpGRN,39,37,10571,76,0
GNG643,"SNta11,SNta14",27,49,10571,76,0
SNch01,GNG644,56,20,10571,76,0
SNch01,ORN_DL5,56,20,10571,76,0
SNch01,WG2,56,20,10571,76,0
SNch01,LgAG3,56,20,10571,76,0
SNch01,PhG1b,56,20,10571,76,0
SNch01,BM_vOcci_vPoOr,56,20,10571,76,0
SNch01,LB1e,56,20,10571,76,0
SNch01,SNxx30,56,20,10571,76,0
JO-ED2_b,ENS3,64,12,10571,76,0
JO-ED2_b,ORN_VM4,64,12,10571,76,0
JO-ED2_b,ENS1,64,12,10571,76,0
JO-ED2_b,PhG13,64,12,10571,76,0
JO-ED2_b,ORN_DC2,64,12,10571,76,0
JO-ED2_b,SNpp37,64,12,10571,76,0
JO-ED2_b,ORN_VC4,64,12,10571,76,0
JO-ED2_b,b2 MN,64,12,10571,76,0
WG3,"SNta02,SNta09",33,43,10571,76,0
R8p,LgLG3,11,65,10571,76,0
SNxx09,LgLG3,11,65,10571,76,0
ORN_VL2a,SNpp32,34,42,10571,76,0
LB3b,SNpp50,17,59,10571,76,0
SNxx15,SNpp16,40,36,10571,76,0
SNxx15,SNxx14,40,36,10571,76,0
SNxx15,SNch10,40,36,10571,76,0
SNxx15,SNta18,40,36,10571,76,0
aPhM2a,SNpp23,46,30,10571,76,0
aPhM2a,JO-CL,46,30,10571,76,0
aPhM2a,SNpp41,46,30,10571,76,0
SAxx02,LB3c,51,25,10571,76,0
SAxx02,SNxx26,51,25,10571,76,0
SAxx02,ORN_VA2,51,25,10571,76,0
GNG644,SApp04,20,56,10571,76,0
LgLG3,LgLG2,65,11,10571,76,0
LgLG3,R8_unclear,65,11,10571,76,0
LgLG3,LB1a,65,11,10571,76,0
LgLG3,SNpp21,65,11,10571,76,0
LgLG3,ORN_VM7v,65,11,10571,76,0
LgLG3,ORN_DL1,65,11,10571,76,0
ORN_DA1,SNpp32,34,42,10571,76,0
SNpp23,JO-mz,30,46,10571,76,0
SNpp23,SNta03,30,46,10571,76,0
SNpp23,SNta28,30,46,10571,76,0
claw_tpGRN,JO-ED2_c,37,39,10571,76,0
claw_tpGRN,SNpp47,37,39,10571,76,0
claw_tpGRN,SNpp33,37,39,10571,76,0
LB3d,"SNta11,SNta14",27,49,10571,76,0
SNxx02,"SNta11,SNta14",27,49,10571,76,0
LB3c,SNxx03,25,51,10571,76,0
TRN_VP1m,SNta25,24,52,10571,76,0
BM_Hau,"SNta11,SNta14",27,49,10571,76,0
JO-mz,JO-CL,46,30,10571,76,0
JO-mz,SNpp41,46,30,10571,76,0
SNpp60,SApp14,44,32,10571,76,0
SNpp60,SNpp07,44,32,10571,76,0
SApp19,ORN_DM1,50,26,10571,76,0
SApp19,SNpp10,50,26,10571,76,0
SApp19,SApp01,50,26,10571,76,0
ORN_DP1m,SNpp43,35,41,10571,76,0
JO-B4_b,"SNta11,SNta14",27,49,10571,76,0
SNta03,JO-CL,46,30,10571,76,0
SNta03,SNpp41,46,30,10571,76,0
SNxx04,ORN_DM1,50,26,10571,76,0
SNxx04,SNpp10,50,26,10571,76,0
SNxx04,SApp01,50,26,10571,76,0
WG4,SNta30,23,53,10571,76,0
"SNta11,SNta14",SApp23,49,27,10571,76,0
"SNta11,SNta14",ORN_VL2p,49,27,10571,76,0
ORN_DM1,SNta04,26,50,10571,76,0
SAxx01,SNxx11,47,29,10571,76,0
SAxx01,ORN_DC4,47,29,10571,76,0
SAxx01,LB1c,47,29,10571,76,0
SAxx01,"SNpp29,SNpp63",47,29,10571,76,0
SAxx01,"SNta04,SNta11",47,29,10571,76,0
SNxx03,SNxx26,51,25,10571,76,0
SNxx03,ORN_VA2,51,25,10571,76,0
BM_Vib,SNpp32,34,42,10571,76,0
SNxx29,SNxx11,47,29,10571,76,0
SNxx29,ORN_DC4,47,29,10571,76,0
SNxx29,LB1c,47,29,10571,76,0
SNxx29,"SNpp29,SNpp63",47,29,10571,76,0
SNxx29,"SNta04,SNta11",47,29,10571,76,0
SNxx11,SNta11,29,47,10571,76,0
SNxx11,SNpp51,29,47,10571,76,0
ORN_DC4,SNta11,29,47,10571,76,0
ORN_DC4,SNpp51,29,47,10571,76,0
LB1c,SNta11,29,47,10571,76,0
LB1c,SNpp51,29,47,10571,76,0
JO-CL,SNta28,30,46,10571,76,0
ORN_DL5,SApp04,20,56,10571,76,0
ENS3,SNpp45,12,64,10571,76,0
SNpp43,"SApp11,SApp18",41,35,10571,76,0
PhG1c,SNpp32,34,42,10571,76,0
SNpp41,SNta28,30,46,10571,76,0
SNpp50,ORN_VA1v,59,17,10571,76,0
SNpp50,JO-A1,59,17,10571,76,0
SNpp50,SNpp05,59,17,10571,76,0
SNpp50,SNxx28,59,17,10571,76,0
SNpp50,ORN_VM5v,59,17,10571,76,0
SNpp50,SNpp31,59,17,10571,76,0
SNpp50,SNpp17,59,17,10571,76,0
SNpp50,SNpp01,59,17,10571,76,0
WG2,SApp04,20,56,10571,76,0
LgAG3,SApp04,20,56,10571,76,0
SNta04,SNpp10,50,26,10571,76,0
SNta04,SApp01,50,26,10571,76,0
PhG1b,SApp04,20,56,10571,76,0
"SNpp29,SNpp63",SNta11,29,47,10571,76,0
"SNpp29,SNpp63",SNpp51,29,47,10571,76,0
BM_vOcci_vPoOr,SApp04,20,56,10571,76,0
SNpp45,ORN_VM4,64,12,10571,76,0
SNpp45,ENS1,64,12,10571,76,0
SNpp45,PhG13,64,12,10571,76,0
SNpp45,ORN_DC2,64,12,10571,76,0
SNpp45,SNpp37,64,12,10571,76,0
SNpp45,ORN_VC4,64,12,10571,76,0
SNpp45,b2 MN,64,12,10571,76,0
ORN_D,SNta30,23,53,10571,76,0
LB1e,SApp04,20,56,10571,76,0
SApp04,SNxx30,56,20,10571,76,0
SNpp51,"SNta04,SNta11",47,29,10571,76,0
"SNta02,SNta09",SNta31,43,33,10571,76,0
SNta25,SNpp02,52,24,10571,76,0
SNxx07,"SNta02,SNta09",32,43,10572,75,0
SNxx08,JO-FV,20,55,10572,75,0
TPMN1,ORN_DP1m,40,35,10572,75,0
TPMN1,"SApp11,SApp18",40,35,10572,75,0
DNx02,LgLG7,68,7,10572,75,0
DNx02,DNg83,68,7,10572,75,0
DNx02,ORN_DL3,68,7,10572,75,0
DNx02,ORN_DM3,68,7,10572,75,0
aPhM5,aPhM2a,29,46,10572,75,0
aPhM5,JO-mz,29,46,10572,75,0
aPhM5,SNta03,29,46,10572,75,0
aPhM5,SNta28,29,46,10572,75,0
SNxx23,LB3c,50,25,10572,75,0
SNxx23,SNxx26,50,25,10572,75,0
SNxx23,ORN_VA2,50,25,10572,75,0
JO-EV5,JO-A3,54,21,10572,75,0
JO-EV5,ORN_VM6v,54,21,10572,75,0
JO-EV5,SNxx17,54,21,10572,75,0
JO-EV5,ORN_DL2v,54,21,10572,75,0
JO-ED2_a,aPhM4,56,19,10572,75,0
JO-ED2_a,LB3a,56,19,10572,75,0
JO-ED2_a,SNpp35,56,19,10572,75,0
JO-ED2_a,LgAG5,56,19,10572,75,0
JO-ED2_a,LgAG7,56,19,10572,75,0
JO-ED2_a,ORN_DL2d,56,19,10572,75,0
JO-ED2_a,JO-B1_a,56,19,10572,75,0
JO-ED2_a,SNta13,56,19,10572,75,0
TPMN2,"SNta11,SNta14",26,49,10572,75,0
R7y,JO-ED2_b,11,64,10572,75,0
R7y,SNpp45,11,64,10572,75,0
R7p,JO-ED2_b,11,64,10572,75,0
R7p,SNpp45,11,64,10572,75,0
JO-FV,GNG644,55,20,10572,75,0
JO-FV,ORN_DL5,55,20,10572,75,0
JO-FV,WG2,55,20,10572,75,0
JO-FV,LgAG3,55,20,10572,75,0
JO-FV,PhG1b,55,20,10572,75,0
JO-FV,BM_vOcci_vPoOr,55,20,10572,75,0
JO-FV,LB1e,55,20,10572,75,0
JO-FV,SNxx30,55,20,10572,75,0
R7d,JO-EV6,13,62,10572,75,0
LgLG6,JO-EV6,13,62,10572,75,0
LgLG1a,ORN_VL2a,41,34,10572,75,0
LgLG1a,ORN_DA1,41,34,10572,75,0
LgLG1a,BM_Vib,41,34,10572,75,0
LgLG1a,PhG1c,41,34,10572,75,0
aPhM3,"SNta02,SNta09",32,43,10572,75,0
SNpp39,aPhM4,56,19,10572,75,0
SNpp39,LB3a,56,19,10572,75,0
SNpp39,SNpp35,56,19,10572,75,0
SNpp39,LgAG5,56,19,10572,75,0
SNpp39,LgAG7,56,19,10572,75,0
SNpp39,ORN_DL2d,56,19,10572,75,0
SNpp39,JO-B1_a,56,19,10572,75,0
SNpp39,SNta13,56,19,10572,75,0
JO-A2,LgLG1b,36,39,10572,75,0
JO-A2,JO-ED2_c,36,39,10572,75,0
JO-A2,SNpp47,36,39,10572,75,0
JO-A2,SNpp33,36,39,10572,75,0
JO-EV6,ORN_DM2,62,13,10572,75,0
JO-EV6,DNg20,62,13,10572,75,0
JO-EV6,SNxx06,62,13,10572,75,0
JO-EV6,SNpp15,62,13,10572,75,0
JO-EV6,ORN_DA2,62,13,10572,75,0
JO-EV6,PhG16,62,13,10572,75,0
JO-EV6,SNpp18,62,13,10572,75,0
JO-EV6,LgAG8,62,13,10572,75,0
aPhM4,SNch01,19,56,10572,75,0
aPhM4,SApp04,19,56,10572,75,0
JO-EV2,WG3,42,33,10572,75,0
JO-EV2,SNta31,42,33,10572,75,0
SNxx20,HRN_VP4,44,31,10572,75,0
SNxx20,HRN_VP1d,44,31,10572,75,0
SNxx20,JO-ED1,44,31,10572,75,0
SNxx20,SApp13,44,31,10572,75,0
LgAG1,HRN_VP4,44,31,10572,75,0
LgAG1,HRN_VP1d,44,31,10572,75,0
LgAG1,JO-ED1,44,31,10572,75,0
LgAG1,SApp13,44,31,10572,75,0
LgLG1b,SNpp16,39,36,10572,75,0
LgLG1b,SNxx14,39,36,10572,75,0
LgLG1b,SNch10,39,36,10572,75,0
LgLG1b,SNta18,39,36,10572,75,0
SNch01,LB3a,56,19,10572,75,0
SNch01,SNpp35,56,19,10572,75,0
SNch01,LgAG5,56,19,10572,75,0
SNch01,LgAG7,56,19,10572,75,0
SNch01,ORN_DL2d,56,19,10572,75,0
SNch01,JO-B1_a,56,19,10572,75,0
SNch01,SNta13,56,19,10572,75,0
HRN_VP4,SNpp60,31,44,10572,75,0
JO-ED2_b,R8p,64,11,10572,75,0
JO-ED2_b,SNxx09,64,11,10572,75,0
JO-ED2_b,LgLG2,64,11,10572,75,0
JO-ED2_b,R8_unclear,64,11,10572,75,0
JO-ED2_b,LB1a,64,11,10572,75,0
JO-ED2_b,SNpp21,64,11,10572,75,0
JO-ED2_b,ORN_VM7v,64,11,10572,75,0
JO-ED2_b,ORN_DL1,64,11,10572,75,0
WG3,SNpp32,33,42,10572,75,0
R8p,SNpp45,11,64,10572,75,0
aPhM1,SNta30,22,53,10572,75,0
SNxx09,SNpp45,11,64,10572,75,0
ORN_VL2a,SNpp43,34,41,10572,75,0
SNxx15,ORN_DP1m,40,35,10572,75,0
SNxx15,"SApp11,SApp18",40,35,10572,75,0
aPhM2a,SNxx11,46,29,10572,75,0
aPhM2a,ORN_DC4,46,29,10572,75,0
aPhM2a,LB1c,46,29,10572,75,0
aPhM2a,"SNpp29,SNpp63",46,29,10572,75,0
aPhM2a,"SNta04,SNta11",46,29,10572,75,0
SAxx02,TRN_VP1m,51,24,10572,75,0
SAxx02,SNpp02,51,24,10572,75,0
BM_InOm,R8d,72,3,10572,75,0
BM_Vt_PoOc,SNta30,22,53,10572,75,0
R8y,LgLG3,10,65,10572,75,0
LgLG3,HRN_VP1l,65,10,10572,75,0
LgLG3,PhG6,65,10,10572,75,0
LgLG3,LN-DN1,65,10,10572,75,0
LgLG3,ORN_DM4,65,10,10572,75,0
LgLG3,ORN_DM6,65,10,10572,75,0
LgLG3,ORN_VA3,65,10,10572,75,0
ORN_DA1,SNpp43,34,41,10572,75,0
SNta14,SAxx01,28,47,10572,75,0
SNta14,SNxx29,28,47,10572,75,0
SNta14,SNpp51,28,47,10572,75,0
claw_tpGRN,SNxx25,37,38,10572,75,0
SNpp40,R8d,72,3,10572,75,0
LgLG2,SNpp45,11,64,10572,75,0
LB3c,SApp19,25,50,10572,75,0
LB3c,SNxx04,25,50,10572,75,0
LB3c,SNta04,25,50,10572,75,0
ENS2,SAxx01,28,47,10572,75,0
ENS2,SNxx29,28,47,10572,75,0
ENS2,SNta11,28,47,10572,75,0
ENS2,SNpp51,28,47,10572,75,0
ORN_DP1l,SAxx01,28,47,10572,75,0
ORN_DP1l,SNxx29,28,47,10572,75,0
ORN_DP1l,SNta11,28,47,10572,75,0
ORN_DP1l,SNpp51,28,47,10572,75,0
LB3a,SApp04,19,56,10572,75,0
SNpp16,JO-ED2_c,36,39,10572,75,0
SNpp16,SNpp47,36,39,10572,75,0
SNpp16,SNpp33,36,39,10572,75,0
TRN_VP1m,SNxx03,24,51,10572,75,0
PhG9,SNta30,22,53,10572,75,0
JO-mz,SNxx11,46,29,10572,75,0
JO-mz,ORN_DC4,46,29,10572,75,0
JO-mz,LB1c,46,29,10572,75,0
JO-mz,"SNpp29,SNpp63",46,29,10572,75,0
JO-mz,"SNta04,SNta11",46,29,10572,75,0
SNpp60,HRN_VP1d,44,31,10572,75,0
SNpp60,JO-ED1,44,31,10572,75,0
SNpp60,SApp13,44,31,10572,75,0
SApp19,SNxx26,50,25,10572,75,0
SApp19,ORN_VA2,50,25,10572,75,0
SNta03,SNxx11,46,29,10572,75,0
SNta03,ORN_DC4,46,29,10572,75,0
SNta03,LB1c,46,29,10572,75,0
SNta03,"SNpp29,SNpp63",46,29,10572,75,0
SNta03,"SNta04,SNta11",46,29,10572,75,0
R8_unclear,SNpp45,11,64,10572,75,0
SNxx04,SNxx26,50,25,10572,75,0
SNxx04,ORN_VA2,50,25,10572,75,0
WG4,SNta25,23,52,10572,75,0
"SNta11,SNta14",ORN_DM1,49,26,10572,75,0
"SNta11,SNta14",SNpp10,49,26,10572,75,0
"SNta11,SNta14",SApp01,49,26,10572,75,0
SAxx01,ORN_VA6,47,28,10572,75,0
SAxx01,ENS4,47,28,10572,75,0
SAxx01,SNta26,47,28,10572,75,0
SNxx03,SNpp02,51,24,10572,75,0
JO-ED2_c,SNxx14,39,36,10572,75,0
JO-ED2_c,SNch10,39,36,10572,75,0
JO-ED2_c,SNta18,39,36,10572,75,0
BM_Vib,SNpp43,34,41,10572,75,0
SNxx29,ORN_VA6,47,28,10572,75,0
SNxx29,ENS4,47,28,10572,75,0
SNxx29,SNta26,47,28,10572,75,0
ORN_DC1,SNta30,22,53,10572,75,0
GNG642,SNpp50,16,59,10572,75,0
SNxx11,SNta28,29,46,10572,75,0
ORN_DC4,SNta28,29,46,10572,75,0
SNpp47,SNxx14,39,36,10572,75,0
SNpp47,SNch10,39,36,10572,75,0
SNpp47,SNta18,39,36,10572,75,0
LB1c,SNta28,29,46,10572,75,0
SNpp43,PhG1c,41,34,10572,75,0
SNpp50,ORN_V,59,16,10572,75,0
SNpp50,PhG10,59,16,10572,75,0
SNpp50,ORN_VL1,59,16,10572,75,0
SNpp50,LgLG4,59,16,10572,75,0
SNpp50,ORN_VM5d,59,16,10572,75,0
SNpp50,SNpp11,59,16,10572,75,0
SNpp50,ALBN1,59,16,10572,75,0
SNpp50,ENS5,59,16,10572,75,0
SNpp50,dorsal_tpGRN,59,16,10572,75,0
SNpp50,JO-CA2,59,16,10572,75,0
SNxx14,SNpp33,36,39,10572,75,0
SNta04,SNxx26,50,25,10572,75,0
SNta04,ORN_VA2,50,25,10572,75,0
SNch10,SNpp33,36,39,10572,75,0
LgAG5,SApp04,19,56,10572,75,0
ORN_VA6,SNta11,28,47,10572,75,0
ORN_VA6,SNpp51,28,47,10572,75,0
SNpp62,SNta30,22,53,10572,75,0
LgAG7,SApp04,19,56,10572,75,0
"SNpp29,SNpp63",SNta28,29,46,10572,75,0
SNpp45,LB1a,64,11,10572,75,0
SNpp45,SNpp21,64,11,10572,75,0
SNpp45,ORN_VM7v,64,11,10572,75,0
SNpp45,ORN_DL1,64,11,10572,75,0
ORN_DL2d,SApp04,19,56,10572,75,0
SNpp33,SNta18,39,36,10572,75,0
ORN_D,SNta25,23,52,10572,75,0
SNta11,ENS4,47,28,10572,75,0
SNta11,SNta26,47,28,10572,75,0
SApp04,JO-B1_a,56,19,10572,75,0
SApp04,SNta13,56,19,10572,75,0
ENS4,SNpp51,28,47,10572,75,0
SApp14,"SNta02,SNta09",32,43,10572,75,0
SNpp58,SNta30,22,53,10572,75,0
SNpp51,SNta26,47,28,10572,75,0
SNpp07,"SNta02,SNta09",32,43,10572,75,0
SNpp32,SNta31,42,33,10572,75,0
SNxx19,SNta30,22,53,10572,75,0
SNxx21,SNta30,22,53,10572,75,0
SNta30,JO-B3,53,22,10572,75,0
"SNta04,SNta11",SNta28,29,46,10572,75,0
SNxx07,JO-EV2,32,42,10573,74,0
SNxx07,SNpp32,32,42,10573,74,0
SNxx08,JO-EV5,20,54,10573,74,0
TPMN1,ORN_VL2a,40,34,10573,74,0
TPMN1,ORN_DA1,40,34,10573,74,0
TPMN1,BM_Vib,40,34,10573,74,0
TPMN1,PhG1c,40,34,10573,74,0
R7_unclear,SNpp50,15,59,10573,74,0
SNxx23,TRN_VP1m,50,24,10573,74,0
SNxx23,SNpp02,50,24,10573,74,0
JO-EV5,GNG644,54,20,10573,74,0
JO-EV5,ORN_DL5,54,20,10573,74,0
JO-EV5,WG2,54,20,10573,74,0
JO-EV5,LgAG3,54,20,10573,74,0
JO-EV5,PhG1b,54,20,10573,74,0
JO-EV5,BM_vOcci_vPoOr,54,20,10573,74,0
JO-EV5,LB1e,54,20,10573,74,0
JO-EV5,SNxx30,54,20,10573,74,0
JO-ED2_a,TRN_VP3a,56,18,10573,74,0
JO-ED2_a,TRN_VP2,56,18,10573,74,0
JO-ED2_a,aPhM2b,56,18,10573,74,0
JO-ED2_a,ORN_VC1,56,18,10573,74,0
JO-ED2_a,ORN_VM7d,56,18,10573,74,0
JO-ED2_a,LgAG2,56,18,10573,74,0
JO-ED2_a,DNx01,56,18,10573,74,0
JO-FV,aPhM4,55,19,10573,74,0
JO-FV,LB3a,55,19,10573,74,0
JO-FV,SNpp35,55,19,10573,74,0
JO-FV,LgAG5,55,19,10573,74,0
JO-FV,LgAG7,55,19,10573,74,0
JO-FV,ORN_DL2d,55,19,10573,74,0
JO-FV,JO-B1_a,55,19,10573,74,0
JO-FV,SNta13,55,19,10573,74,0
LgLG1a,WG3,41,33,10573,74,0
LgLG1a,SNta31,41,33,10573,74,0
aPhM3,JO-EV2,32,42,10573,74,0
aPhM3,SNpp32,32,42,10573,74,0
SNpp39,TRN_VP3a,56,18,10573,74,0
SNpp39,TRN_VP2,56,18,10573,74,0
